,date,speaker,title,party,media,score,field,subject,link,knesset,gender,main-quote
298,16/01/2018,מיכל רוזין,"על אמנת הפליטים של האו""ם",מרצ,ערוץ הכנסת,mostly untrue,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/LK0ZaL3xPk,הכנסת ה-20,female,"""אנחנו, כמי שיזמנו ב-1948 את אמנת הפליטים, בגלל השואה [...] אנחנו צריכים להיות אלה שאומרים עד כאן"""
299,16/01/2018,מיכל רוזין,על מדיניות גירוש הזרים במדינה,מרצ,ערוץ הכנסת,mostly true,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/QXx46B3W78,הכנסת ה-20,female,"""יש למעלה מ-100,000 שוהים בלתי חוקיים במדינת ישראל. רק בשנתיים האחרונות נכנסו למעלה מ-20,000 אוקראינים וביקשו בקשות מקלט [...] דווקא את אותם 38,000 פליטים, מבקשי מקלט מסודן ואריתריאה, מבקשים לגרש [...] מתוך 46,000 שהיו פה בדקו רק 2,000 בקשות מקלט"""
300,15/05/2019,מיכל רוזין,על יוקר המחיה ומדד המחירים,מרצ,טוויטר,half true,כלכלה,יוקר המחיה,https://www.thewhistle.co.il/feed/YXylJB40w2,הכנסת ה-21,female,"""מעל 50% מתלמידי כיתות א' לומדים בחינוך לא ציוני [...] ורק 50% מהצעירים במדינת ישראל מתגייסים ו-43% מסיימים שירות מלא"""
301,18/06/2019,מיכל רוזין,על הטיפול בתלונות על פגיעה מינית בישראל:,מרצ,גל״צ,TRUE,חוק ומשפט,תקיפות והטרדות מיניות,https://www.thewhistle.co.il/feed/KRxooaoxOn,הכנסת ה-21,female,"""מרכזי הסיוע מקבלים כ-40 אלף פניות בשנה, למשטרה מגיעות כ-6,000-5,000, והמציאות העגומה היא שרוב המקרים שמגיעים למשטרה נסגרים. כמעט 90% מהתיקים נסגרים על ידי המשטרה והפרקליטות"""
302,27/11/2017,מיקי לוי,על חוק ההמלצות,יש עתיד,ועדה בכנסת,TRUE,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/qX0nzDL0N9,הכנסת ה-20,male,"""נטלתם את סמכותו של היועמ""ש לאשר פרסום [של סיכום החקירה המשטרתית] כאשר יש עניין לציבור"""
303,24/04/2018,מיקי לוי,על מספר שוטרים לנפש בישראל,יש עתיד,רדיו קול הים האדום,untrue,חוק ומשפט,משטרת ישראל,https://www.thewhistle.co.il/feed/AqW783byaJ,הכנסת ה-20,male,"""מספר השוטרים לאלף נפש הוא בין המספרים הקטנים בעולם. אפילו בפולין יש יותר שוטרים לאלף נפש מאשר במשטרת ישראל"""
304,24/08/2017,מיקי מכלוף זוהר,על מספר הנרצחים בטרור,ליכוד,103FM,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/VnWb2BeWve,הכנסת ה-20,male,"""אני יודע שאנחנו בתכנית סאטירה, אבל כשאנחנו מדברים על עשרות אלפי יהודים שנרצחו בגלל טרור, אני אומר את זה ברצינות"""
305,04/09/2017,מיקי מכלוף זוהר,על הסמכות לעצור חשודים,ליכוד,ערוץ הכנסת,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/3wW6KMmyD2,הכנסת ה-20,male,"""יש לה [למשטרה] הרבה סמכות בבית המשפט. להאריך מעצר כמעט על כלום, רק עם ראיות לכאורה ורק עם השערות [...] ואפילו לא לחשוף בפני השופט נתונים בשם טענה שמדובר בחומר חסוי. גם זה היא רשאית לעשות"""
306,26/12/2017,מיקי מכלוף זוהר,על החשדות נגד בנימין נתניהו,ליכוד,103FM,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/OZWqmXQWjw,הכנסת ה-20,male,"""בוא תיתן לי דבר אחד שראש הממשלה חשוד בו, שיש בו מונח של שחיתות. האם יש משהו בדברים שראש הממשלה חשוד בהם שיש בהם רבב של שחיתות?"""
307,26/12/2017,מיקי מכלוף זוהר,על הגידול בתקציב הביטחון כהונת נתניהו,ליכוד,103FM,untrue,כלכלה,תקציב המדינה,https://www.thewhistle.co.il/feed/kDy83QkWwa,הכנסת ה-20,male,"""התקציב הביטחוני שעלה בשנים האחרונות, לא היה כזה דבר מעולם. וזה פעולתו של בנימין נתניהו. כי זה באמת הבייבי שלו, הנושא של ביטחון אזרחי ישראל"""
308,27/12/2017,מיקי מכלוף זוהר,על ועדת האתיקה,ליכוד,רדיו חיפה,untrue,"כנסת, ממשלה ומנהל ציבורי",ועדת האתיקה בכנסת,https://www.thewhistle.co.il/feed/Z8yXDEjy42,הכנסת ה-20,male,"""כמובן שהטיעון הזה הופרך לחלוטין על ידי ועדת האתיקה - אגב אמר את זה אתמול גם יו""ר ועדת האתיקה במהלך הדיון לגברת שפיר - שאני לא פעלתי בשום דבר שהוא קשור לניגוד עניינים ואני נקי כפיים"""
309,31/01/2018,מיקי מכלוף זוהר,על קרית גת,ליכוד,103FM,half true,"כנסת, ממשלה ומנהל ציבורי",ועדת האתיקה בכנסת,https://www.thewhistle.co.il/feed/RVxBj3mxZk,הכנסת ה-20,male,"""מה שמבקר המדינה אמר זה שהגשתי ניירת בשם עמותה לעיריית קרית גת כדי לקבל כספים כשעמדתי בראשה בזמנו, אבל בטח ובטח שלא העברתי כספים [...] ואני הקפדתי לא להשתתף בדיונים מתוך חשש לניגוד עניינים"""
310,08/02/2018,מיקי מכלוף זוהר,על פרסום המלצות המשטרה בחקירות נתניהו,ליכוד,כאן ב׳,mostly untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/Gkxzv9Exo5,הכנסת ה-20,male,"""לכל היותר יוגש כתב אישום במה שקשור לקבלת מתנות, שזה הפרת אמונים, שזו עבירה שאין עמה קלון [...] ולכן גם אם יורשע חלילה ראש הממשלה, עדיין הוא יוכל להמשיך לכהן בתפקידו"""
311,13/02/2018,מיקי מכלוף זוהר,על דחיית העתירה נגד פרסום המלצות המשטרה,ליכוד,103FM,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/KRxooldxOn,הכנסת ה-20,male,"""בית המשפט העליון דחה את העתירה מתוך הנחה שהוא סמוך ובטוח שהמלצות המשטרה יישארו חסויות, ולכן בעיניו העתירה התייתרה"""
