,date,speaker,title,party,media,score,field,subject,link,knesset,gender,main-quote
0,25/08/2017,אבי גבאי,"על מתווה הגז, בעקבות הערכת החשב הכללי",עבודה,פייסבוק,untrue,כלכלה,מתווה הגז,https://www.thewhistle.co.il/feed/1l0L1amWva,הכנסת ה-20,male,"""דיברו על 600 מיליארד. נתניהו אמר מאות מיליארדים. ועכשיו בעצם זה ירד ל-17 מיליארד וגם בזה מתגאים."""
1,25/08/2017,אבי גבאי,על מתווה הגז,עבודה,פייסבוק,half true,כלכלה,מתווה הגז,https://www.thewhistle.co.il/feed/e30EJDQWXQ,הכנסת ה-20,male,"""נתניהו אמר מאות מיליארדים. ועכשיו בעצם זה ירד ל-17 מיליארד [...] בכיס השני אתם משלמים את זה. דרך החשמל שאנחנו משלמים עליו 6 דולר ליחידת חום במקום 2 דולר, ודרך זה שלא מטפלים בזיהום האוויר בגלל שלא כדאי להשתמש בגז טבעי [...] כל אחד מכם משלם בשנה 800 שקל מיותרים בחשבון החשמל שלו, כתוצאה ממתווה הגז"""
2,07/09/2017,אבי גבאי,על מחיר הגז הטבעי בעולם,עבודה,גל״צ,half true,כלכלה,מתווה הגז,https://www.thewhistle.co.il/feed/a5xQz3e0qA,הכנסת ה-20,male,"""לגרום לכך שאזרחי ישראל ישלמו 6 דולר עבור הגז, עבור חברת חשמל, ו-5 דולר עבור תעשייה, כשהמחיר בעולם הוא בין 2 ל-3 דולר והגז הוא אצלנו, זה פשוט שערורייה"""
3,24/09/2017,אבי גבאי,על ועדת צמח,עבודה,גל״צ,untrue,כלכלה,מתווה הגז,https://www.thewhistle.co.il/feed/GPxPq420a6,הכנסת ה-20,male,"""לפי הכללים של ועדת צמח, שהממשלה אישרה אותם ב-2013 אם אני זוכר נכון, או קצת לאחר מכן, חברות הגז היו צריכות לבנות צינור נוסף ממאגר תמר לחוף, לא בין אשדוד לאשקלון"""
4,11/03/2018,אבי גבאי,על עמדת אייפא״ק,עבודה,כאן ב׳,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/O4Wk2r50jb,הכנסת ה-20,male,"""בכנס איפא""ק האחרון הייתה דרמה, כי באיפא""ק נאמר בפעם הראשונה - 'אנחנו תומכים בפתרון שתי המדינות', שעל זה אני דיברתי"""
5,19/11/2018,אבי גבאי,על מצב המשק הישראלי וענף הדיור,עבודה,גל״צ,mostly untrue,כלכלה,תקציב המדינה,https://www.thewhistle.co.il/feed/qX0nzqB0N9,הכנסת ה-20,male,"""הצמיחה בישראל כמעט אפסית. הגענו למצב שאין צמיחה לנפש, הצמיחה לנפש היא כמעט כלום. הגענו למצב שהתחלות הבנייה יורדות שוב, גם ברבעון הזה הן ירדו"""
6,02/09/2018,אבי דיכטר,"על אונר""א",ליכוד,כאן ב׳,TRUE,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/36xj8oNWRd,הכנסת ה-20,male,"""יש ארגון של האו""ם שמטפל ב-60 מיליון פליטים בעולם, UNHCR. הוא מעסיק 10,000 פקידים. אונר""א, שמטפל בכחמישה מיליון פליטים פלסטינים, מעסיק 30,000 פקידים"""
7,31/10/2018,אבי ניסנקורן,על שיעור ההרוגים והפצועים בתאונות בניין בישראל,,גל״צ,mostly true,"עבודה, רווחה ובריאות",תאונות בנייה,https://www.thewhistle.co.il/feed/Xr0mzqwWpv,הכנסת ה-20,male,"""אנחנו פי שתיים וחצי מה-OECD במספר ההרוגים ובמספר הפצועים קשה"""
8,12/03/2019,אבי ניסנקורן,על גישתו להשבתת המשק:,כחול לבן,כאן ב׳,TRUE,כלכלה,השבתת המשק,https://www.thewhistle.co.il/feed/kDy838YWwa,מע׳ בחירות,male," ""אני יו""ר ההסתדרות שבתקופה שלו - ותבדקו אותי - היו מספר ימי השביתה המינימליים בעשרים שנה האחרונות"""
9,02/04/2019,אבי ניסנקורן,על התוצר של ישראל בזמן כהונת נתניהו:,כחול לבן,נאום,untrue,תחבורה,תשתיות,https://www.thewhistle.co.il/feed/jKx28NOWZq,מע׳ בחירות,male,"""אנחנו בירידת תוצר. אנחנו, בתוצר מול מדינות מתקדמות - בירידה"""
10,30/08/2017,אבי רואה,על חוק ההסדרה,,גל״צ,mostly untrue,חוק ומשפט,"בג""ץ",https://www.thewhistle.co.il/feed/wzy5K8Z0Q6,הכנסת ה-20,male,"""חוק ההסדרה בא לתת מענה לאלפי יחידות דיור שנבנו בתקציבים של המדינה והתברר שיש בעיה קרקעית, והוא בא לכאורה להסדיר"""
11,25/04/2018,אבי שמחון,על מס׳ העובדים הזרים,,גל״צ,untrue,כלכלה,תעסוקה,https://www.thewhistle.co.il/feed/owxvg7b0V6,הכנסת ה-20,male,"""מספר העובדים הזרים ירד מאוד [...] גם מספר העובדים הפלסטינים לא עלה [...] זאת אומרת, סך כל העובדים הזרים בישראל, שיעורם בקרב העובדים, ירד מאוד"""
12,14/10/2018,אביגדור ליברמן,על היקף הבנייה ביהודה ושומרון,ישראל ביתנו,כאן ב׳,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/QXx46Z2W78,הכנסת ה-20,male,"""יש קרוב ל-15 אלף יחידות דיור שנמצאות בבנייה, עוד כמות כזו אישרנו ונמצאים בשלבי תכנון שונים"""
13,27/01/2019,אביגדור ליברמן,על הגיור בישראל,ישראל ביתנו,103FM,mostly true,דת ומדינה,חוק הגיור,https://www.thewhistle.co.il/feed/e30EJ3aWXQ,מע׳ בחירות,male,"""בתחילת שנות התשעים, כל רב עירוני היה מוסמך לעשות גיור"""
14,15/06/2019,אביגדור ליברמן,על היחס לקורבנות אסון צ׳רנוביל,ישראל ביתנו,רשת,half true,"עבודה, רווחה ובריאות",חקיקה לטובת מטהרי צ׳רנוביל,https://www.thewhistle.co.il/feed/LK0ZaQJxPk,הכנסת ה-21,male,"""רק ישראל העבירה חוק לטובת האנשים שפעלו בצ'רנוביל. ישראל ביתנו העבירה אותו"""
15,16/06/2019,אביגדור ליברמן,על המלצת ה-oecd בנוגע לפנסיה מינימלית:,ישראל ביתנו,כאן ב׳,mostly untrue,כלכלה,שכר מינימום,https://www.thewhistle.co.il/feed/N1xgVgbyeO,הכנסת ה-21,male,"""דיברנו על הכנסת מינימום לכל הגמלאים [...] להביא את זה ל-70% משכר המינימום במשק - אותו קריטריון שקבע ארגון OECD שאנחנו משתייכים אליו"""
16,18/07/2019,אביגדור ליברמן,על ההשקעה בפיקוח דתי ופיקוח אזרחי:,ישראל ביתנו,גל״צ,half true,דת ומדינה,משגיחי כשרות,https://www.thewhistle.co.il/feed/3wW6DJgxD2,מע׳ בחירות,male,"""בכל ישראל יש בסך הכל 20 מפקחות על מעונות יום, 30 פקחי בנייה, אבל 20 אלף משגיחי כשרות"""
17,29/05/2019,אוסאמה סעדי,על מות ערבים בתאונות דרכים:,"חד""ש-תע""ל",נאום,mostly true,תחבורה,הרוגים בתאונות דרכים,https://www.thewhistle.co.il/feed/NR0d2bVyBV,הכנסת ה-21,male,"""צה""ל בעצמו אומר שמשנת 2020 הוא הולך לצמצם את כמות המגויסים, מתוך הפנמה שאין צורך בכמות כזאת של חיילים. לא במגזר החרדי - במגזר החילוני"""
18,26/09/2017,אופיר אקוניס,על האפשרות לגרש מחבלים,ליכוד,כאן 11,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/e30EJ2RWXQ,הכנסת ה-20,male,"""גירוש משפחות המחבלים, זה צעד שעשו [...] יצחק רבין כראש ממשלה, מטעם מפלגת העבודה עשה זאת. עשה זאת! ביצע את הגירוש הזה, אגב במספרים לא קטנים בכלל"""
19,15/05/2018,אופיר אקוניס,על הנכבה,ליכוד,רדיו ירושלים,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/wzy5KVL0Q6,הכנסת ה-20,male,"""היו כמה עשרות אלפים, אולי קצת יותר, שנאלצו לעזוב את בתיהם, משום שהם הפסידו במלחמה"""
20,01/08/2018,אופיר אקוניס,על מינוי יעל עמיתי לוועדה מדעית,ליכוד,פייסבוק,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/a5xQzM30qA,הכנסת ה-20,male,"""מינויה של הפרופ' יעל אמיתי לא אושר בשל עמדותיה, אלא בשל תמיכתה בסרבנות לשירות בצה""ל, דבר שמהווה עבירה על החוק!"""
21,11/11/2018,אופיר אקוניס,על אהוד ברק ופרשת העמותות,ליכוד,רשת,untrue,חוק ומשפט,חקירות בכירים,https://www.thewhistle.co.il/feed/ORxK9dMWjK,הכנסת ה-20,male,"""האדם הזה [אהוד ברק] , שעליו אמר מבקר המדינה ""קנה שלטון בכסף"" בעניין פרשת העמותות מ-1999"""
