date,speaker,title,party,media,score,field,subject,link,knesset,gender,main-quote
31/12/2019,אביגדור ליברמן,,ישראל ביתנו,ועידת תחזיות,TRUE,,,,,male,"""החוק שמאפשר לראש ממשלה לכהן עד פסק דין חלוט התקבל ב2001 אני הצבעתי  נגדו בעוד שהנשיא רובי ריבלין, ציפי לבני, מפלגות השמאל, מרץ והערבים הצביעו בעד החוק"""
21/07/2019,אופיר אקוניס,,הליכוד,פייסבוק,TRUE,,,,,male,"""לתקופה של ארבעה חודשים כיהנתי כממונה על רשות השידור והתבקשתי לתקן את חוק השידור הציבורי. דבר ראשון קבעתי שלא יהיה סתם תאגיד שידור ציבורי, כפי שקבעו קודמיי, אלא תאגיד שידור ישראלי."""
21/07/2019,אופיר אקוניס,,הליכוד,פייסבוק,TRUE,,,,,male,"""קבעתי שתחנות הרדיו תקראנה ״קול ישראל״, כדי שכל מי שהיו לו תכניות לבטל זאת, יעמוד מול חוק שחוקקה הכנסת."""
20/03/2019,אורלי לוי אבקסיס,,גשר,פייסבוק,TRUE,בריאות,,,,female,"""מדי יום מתים בישראל 13 בני אדם מוות מיותר כתוצאה מזיהום נרכש בבתי החולים. בן אדם אחד כל שעתיים, 450 כל חודש, 5,000 כל שנה ובסך הכל 20,000 בני אדם נפטרו, מתו - מוות מיותר במהלך הקדנציה האחרונה של הכנסת."""
12/03/2019,אורלי לוי אבקסיס,,גשר,פייסבוק,TRUE,בריאות,,,,female,"""למרות חוק בריאות חינם, 83% רוכשים ביטוח פרטי מכיסם, וגם זה לא מספיק"""
06/08/2018,אילן גילאון,,מרצ,פייסבוק,TRUE,,,,,male,"""לפי נתוני ה- OECD, ישראל נמצאת במקום ה-30 מתוך 35 המדינות החברות בשיעור ההוצאה הציבורית לבריאות, נמצאת במקום החמישי מהסוף במספר מיטות לאלף נפש, ובמקום הרביעי מהסוף במספר אחיות לאלף נפש."""
23/07/2019,בנימין נתניהו,ייצוא ישראלי,הליכוד,פייסבוק,TRUE,כלכלה,,,,male,"""ישראל קפצה קדימה 28 מקומות מבין מדינות ה-OECD!"""
06/08/2018,גילה גמליאל,,הליכוד,פייסבוק,TRUE,,,,,female,"במאמצי ׳יחידות הסגולה׳, הגענו בשנים האחרונות ליותר מ-320 אלף אזרחיות ואזרחים ותיקים מאושפזים ומיצינו עבורם זכויות בהיקף של למעלה מ-30 מיליון ₪. "
08/05/2012,דב חנין,,הרשימה המשותפת,כלכליסט,TRUE,כלכלה,,,,male,"""השקיפות חיונית למיגור שחיתות ואפליה. הכנסת אישרה היום חלופה רעיונית למדיניות המקרקעין של נתניהו - במקום הפרטה של מקרקעי ישראל אנחנו צריכים שקיפות ודמוקרטיה בניהולם הציבורי. כיום, גם כאשר מתאפשר עיון בהחלטות הרשות הוא כרוך בתשלום גבוה ובבקשות חוזרות ונשנות מהממונה על חופש המידע ברשות. על אף שרוב רובן של החלטות הרשות נוגעות בדרך זו או אחרת לציבור רחב של חוכרים לא היתה עד היום כל חובה לפרסמן"""
25/11/2018,דודי אמסלם,,הליכוד,ynet אולפן,TRUE,פוליטיקה,,,,male,"""מאז קום המדינה היו הרבה ראשי ממשלה שאחזו גם בתיק הביטחון"""
31/10/2018,יואב קיש,,הליכוד,מליאת הכנסת,TRUE,,חוק הפונדקאות,,,male,"""הושבעת לתפקיד במרץ 2013 הגשת את הצעת חוק לשינוי חוק הפונדקאות שנה וחצי אחרי באוקטובר 2014 אז על עובדות אנחנו לא מתווכחים"""
24/12/2018,יובל שטייניץ,,הליכוד,ועידת ישראל  לסביבה,TRUE,סביבה,,https://www.youtube.com/watch?v=CwMqnLibJEA [5:30],,male,"""בשנתיים האחרונות סוף סוף,זיהום האוויר במדינת ישראל במגמת ירידה"""
23/07/2019,יעל גרמן,,כחול לבן,פייסבוק,TRUE,,,,,female,"""ההשקעה של הממשלה הנוכחית במערכת הבריאות היא בין הנמוכות במדינות ה OECD והיא עומדת על כ-7.4 אחוז מהתוצר הלאומי כבר שנים רבות, בעוד שבמדינות המערב היא כ-10%"""
18/07/2018,יריב לוין,,הליכוד,ועידת כלכליסט לתיירות,TRUE,תיירות,,"https://www.calcalist.co.il/conference/articles/0,7340,L-3742562,00.html",,male,"""ראינו במשך שנים ארוכות שמספר תיירים לא השתנה - 2.8 מיליון ב-2001 ואותו מספר בערך ב--2015."""
15/02/2019,מיכל רוזין,על הפריימריז הפתוחים,מרצ,פייסבוק,TRUE,,,,,female,"""הוכחתם שהמהלך הזה היה נכון עם לא פחות מ-83 אחוזי הצבעה (!) של חברי מרצ שרצו את היכולת להשפיע, בחרו את הרשימה הכי מגוונת ומצויינת שיש"""
21/11/2018,מיכל רוזין,על ההתישבות בחברון (כמה תכלס מתנחלים גרים שם?),מרצ,פייסבוק,TRUE,,,,,female,"""הגיע הזמן להפסיק את הטירוף ש-850 מתנחלים בלב עיר פלסטינית מסובבים על האצבע מדינה שלמה."""
02/09/2019,מיקי לוי,,כחול לבן,פייסבוק,TRUE,חינוך,,,,male,"""אתמול פתחנו את שנת הלימודים עם מחסור של למעלה מ3000 מורים בעיקר לאנגלית, מתמטיקה ופיזיקה ועם כיתות של 35 תלמידים"" "
10/03/2019,מיקי לוי,על בור התקציב שנוצר בהקשר ההסכמים הקואליציונים,כחול לבן,פייסבוק,TRUE,,,,,male,"""הנה לפניכם רשימה חלקית: 4.3 מיליארד שח תוספת לתקציב הישיבות, 2 מיליארד שח תוספת למעיין החינוך התורני של ש״ס, מיליארד שח למימון חוק נהרי כדי להבטיח שילדים חרדים לא ילמדו לימודי מתמטיקה ואנגלית, 670 מיליון שח לסמוטריץ׳, גפני ומיקי זוהר כדי שיצביעו עם הקואליציה, 420 מיליון שח הבטחת הכנסה לאברכים."""
10/02/2019,מיקי לוי,על מטוס ראש הממשלה,כחול לבן,פייסבוק,TRUE,,,,,male,"""נתניהו מבזבז 580 מיליון שח על קניית מטוס"""
06/11/2018,מיקי לוי,,כחול לבן,פייסבוק,TRUE,,,,,male,"""בשנים האחרונות אני מתריע נאבק וזועק (גם כשזה לא היה פופולארי) נגד המדיניות הכלכלית של ממשלת נתניהו, שעשויה להביא אותנו לגרעון הגדול שמצאנו לפיד ואני כשנכנסנו ב- 2013 למשרד האוצר, בור כלכלי"" של 40 מיליארדי שקלים. אחרי פחות משנתיים במשרד החזרנו את הקופה הציבורית עם עודף של קרוב ל- 10 מיליארדי שקלים."""
26/11/2018,מירי רגב,,הליכוד,מסיבת עיתונאים,TRUE,,,,,female,"""ליברמן בא להצביע נגד חוק הנאמנות לתרבות ביחד עם אחמד טיבי ותמר זנדברג"""
23/07/2019,מירי רגב,,הליכוד,פייסבוק,TRUE,תרבות,,,,female,"""דוח חדש של מרכז המידע והמחקר של הכנסת מצביע בבירור כי מאז שמוניתי לתפקיד שרת התרבות לפני כארבע שנים - חלה עלייה משמעותית בתקציב התרבות ובהוצאות המגזר הממשלתי על תרבות, עד לרמה ממוצעת בהשוואה למדינות אירופה ואף מעט מעליהן."""
18/02/2017,משה פייגלין,,הליכוד,פגוש את העיתונות,TRUE,חינוך,,"https://www.calcalist.co.il/conference/articles/0,7340,L-3742562,00.html",,male,"""תקציב החינוך בישראל היום מתקרב ל90 מילארד שקל  בשנה זה הרבה יותר כבר מתקציב הביטחון , זה יוצא 80 אלף שקל לכיתה  לחודש , זה יוצא 3000 שקל לתלמיד לחודש. """
23/08/2016,נפתלי בנט,,הימין החדש,פייסבוק,TRUE,חינוך,,,,male,"""חשוב לי לפוגג את מה שנאמר במהלך החודשים האחרונים - מתוך 440,000 התלמידים החרדים יש  40,000 במוסדות הפטור שפטורים מלימודי ליבה. החוק שחוקק בכנסת הקודמת לא נכנס מעולם לתוקף, אלא היה אמור להיות מיושם רק בשנת 2018. אני לא שותף ליללות האבל על חוק שלא נכנס לתוקף. בפועל, אנחנו בעבודה פרטנית מול הרשתות החרדיות שרוצים להכניס 5 יחל במתמטיקה ובאנגלית. המפתח להצלחה בחינוך החרדי הוא לא לדבר על זה אלא לעשות את זה."""
09/10/2018,נפתלי בנט,,הימין החדש,פייסבוק,TRUE,חינוך,,,,male,"""לקראת פתיחת שנת הלימודים חנכנו 100 בתי ספר ו400 גני ילדים חדשים"""
03/09/2018,נפתלי בנט,על ארגון מולד שלטענתו הציג נתונים שקריים,הימין החדש,פייסבוק,TRUE,,,,,male,"""מולד הציג שהתקציב השנתי של לימודי מדע וטכנולוגיה לילדי ישראל הוא 10 מיליון ₪ אך התקציב בפועל הוא 4.47 מיליארד ₪."""
24/02/2015,עאידה תומא סולימאן,,הרשימה המשותפת,ערוץ הכנסת,TRUE,,החברה הערבית,,,female,"""האם ידוע שכמעט 90 אחוז מהבניה הלא חוקית בתוך האוכלוסיה הערבית היא נבנית על קרקע פרטית,
כאשר במקביל הבניה הלא חוקית בצד היהודי היא בדרך כלל נמצאת על אדמות המדינה. """
16/11/2019,עודד פורר,,ישראל ביתנו,קשת,TRUE,בחירות,,,,male,"""אני מניח את התשתית שתאפשר לחברי כנסת למנוע את הבחירות הנוספות השנה. 
החוק הזה שאני הגשתי, החוק שמאפשר לשבעה חברי כנסת להתפצל מסיעה גם אם לא מגיעים לכדי שליש הוא חוק שהגיש אותו ראש הממשלה בקדנציה שלו בין 2009 ל2013 וגם העביר אותו, אין שום סיבה שהוא לא יעבור."""
12/08/2018,עומר בר לב ,,העבודה,פייסבוק,TRUE,,,,,male,"""הממשלה איננה מעלה את שארית יהודי אתיופיה, בסך הכל פחות מ-10,000 הנותרים, בפעימה אחת ובאופן מידיי - וזאת כדי לאפשר לאותן משפחות לחיות יחד, במדינת ישראל, בביתנו המשותף """
28/08/2018,קארין אלהרר,,כחול לבן,פייסבוק,TRUE,חינוך,,,,female,"""מה שמוביל אותי לכתבה השנייה שפורסמה בדה מרקר ולפיה מדינת ישראל משקיעה יותר מבכל מדינה אחת ב-OECD בלימודי דת ותנך. למעשה, אין אף מדינה אחרת שמשקיעה כל כך הרבה משאבים בלימודי דת, לשון הכתבה, אפילו לא במדינות שהדת היא מרכיב מרכזי בזהותן, כמו איטליה או טורקיה."""
16/08/2018,קארין אלהרר,,כחול לבן,פייסבוק,TRUE,בריאות,,,,female,"""בקופות החולים אין מספיק מטפלים, הן גם לא מעבירות מספיק כספים למכונים, אלו נאלצים להתקיים מכספי תרומות ועמותות ועשרות אלפי ילדים ממתינים לתורים במכונים הציבוריים במשך חודשים ארוכים. 22 אלף ליתר דיוק- והמספר רק עולה."""
15/08/2018,קארין אלהרר,,כחול לבן,פייסבוק,TRUE,חינוך,,,,female,"""260 אלף ילדים נמצאים היום במסגרת החינוך המיוחד- והמספרים רק גדלים"""
23/07/2019,תמר זנדברג,,מרצ,פייסבוק,TRUE,רווחה,סיעוד,,,female,"""מעל 80 אחוז מהעוסקות בסיעוד הן נשים."""
