word,syllabls_count
BDS,3
Be,1
CNN,3
FBI,3
OECD,4
UNHCR,2
אבטחה,3
אבטלה,3
אביב,2
אבל,2
אגב,2
אגיד,2
אדיר,2
אדישות,3
אדלשטיין,3
אדם,2
אדמה,3
אדמות,3
אדמת,2
אהוד,2
אהרן,3
או,1
אובר,2
אוהב,2
אוטובוס,3
אוטומטי,4
אוטיסט,2
אוכל,2
אולי,2
אולמרט,2
אומר,2
אומרות,2
אומרים,2
אומרת,3
אוניברסיטת,5
אונסקו,3
אונרא,2
אוסלו,2
אופנועים,3
אופציה,2
אוצר,2
אוקראינים,4
אושר,2
אושרה,2
אותה,2
אותו,2
אותי,2
אותך,2
אותם,2
אותן,2
אותנו,3
אז,1
אזור,2
אזוריות,3
אזרח,2
אזרחי,3
אזרחיות,4
אזרחיים,4
אזרחים,3
אחד,2
אחוז,2
אחוזי,3
אחוזים,3
אחיות,3
אחכ,3
אחמד,2
אחר,2
אחראית,3
אחרות,3
אחרי,3
אחרים,3
אחרת,3
אחת,2
אטומית,3
אי,1
אידאולוגי,5
איזה,2
איזו,2
איזשהו,4
איחוד,2
איטליה,3
איילת,3
איך,1
אילן,2
אימץ,2
אין,1
אינו,2
אינטרסנט,4
איננה,3
איננו,3
אינני,3
איסור,2
איפאק,2
איפה,2
איראן,2
אירוויזיונים,5
אירוע,3
אירופה,3
אירן,2
אירעו,2
איש,1
אישום,2
אישי,2
אישית,2
אישר,2
אישרה,2
אישרנו,3
איתן,2
אך,1
אכיפה,3
אכלוס,2
אכן,2
אכפת,2
אל,1
אלא,2
אלה,2
אלו,2
אלי,2
אליהם,3
אליו,2
אליך,2
אלכוהול,3
אלמנט,3
אלף,2
אלפי,2
אלפיים,3
אלפים,3
אלקטרוניקה,5
אם,1
אמון,2
אמוניה,3
אמונים,3
אמור,2
אמיתי,3
אמנת,3
אמסלם,3
אמר,2
אמרו,2
אמרנו,3
אמרתי,3
אנחנו,3
אנטישמי,4
אנטישמיות,5
אני,1
אנכרוניסטי,5
אנסים,3
אנשי,2
אנשים,3
אסור,2
אסותא,3
אסירים,3
אף,1
אפילו,3
אפנה,2
אפס,2
אפסית,2
אפריקאיות,4
אפריקה,3
אפשר,2
אפשרה,3
אצל,2
אצלה,2
אצלי,2
אצלנו,3
ארבע,2
ארבעה,3
ארגון,2
ארגוני,3
ארהב,2
ארוכה,3
ארוכות,3
ארוכים,3
אריתריאה,4
ארצות,2
אשדוד,2
אשליה,3
אשפוז,2
את,1
אתה,2
אתיופיה,3
אתם,2
אתמול,2
אתר,2
אתרי,3
בא,1
באבטלה,4
באו,2
באום,2
באוסטריה,4
באופן,3
באופק,3
באופקים,4
באוצר,3
באוקטובר,4
באותם,3
באחוז,3
באחריות,4
באיזושהי,5
באיטליה,4
באים,2
באין,2
באיפאק,3
באירופה,4
באמצע,3
באמת,3
בארבע,3
בארהב,3
בארץ,3
בארצות,3
באשדוד,3
באתרים,4
בבגץ,3
בבוקר,3
בבחירות,3
בביהמש,5
בבירור,3
בבית,3
בביתנו,4
בבלרוס,4
בבנייה,3
בבתי,3
בג,1
בגבול,2
בגבעת,3
בגברים,3
בגדה,3
בגז,2
בגיל,2
בגילאי,4
בגינה,3
בגלל,2
בגץ,2
בגצ,2
בגרמניה,4
בדבר,2
בדברים,3
בדה,2
בדור,2
בדיונים,4
בדיוק,3
בדצמבר,4
בדקו,2
בדרום,3
בדרך,3
בדרכים,3
בה,1
בהאג,2
בהדסה,4
בהובלת,4
בהודו,3
בהוכחת,4
בהונגריה,4
בהחלטה,4
בהחלטות,4
בהחלטת,4
בהיסטוריה,4
בהיקף,3
בהם,2
בהן,2
בהנחייתו,5
בהסכם,3
בהסכמות,4
בהצבעה,4
בהצלחה,4
בהצעה,4
בהקשר,3
בהרבה,3
בהריסת,4
בהשוואה,4
בהתקפות,4
בו,1
בוא,1
בואו,2
בודד,2
בודקים,2
בוודאות,4
בוודאי,3
בוועדה,4
בוועדת,4
בוושינגטון,4
בוז,1
בוחרים,3
בוילה,3
בונות,2
בוצעה,2
בוצעו,2
בור,1
בזה,2
בזהותן,4
בזיהום,3
בזכויות,3
בזכות,2
בזמן,2
בזמנו,3
בזמני,3
בחברה,3
בחברון,3
בחברות,4
בחוב,2
בחודש,3
בחוות,3
בחול,2
בחומר,3
בחופש,3
בחוק,2
בחוקי,3
בחזרה,4
בחייו,3
בחינוך,3
בחירות,3
בחירת,3
בחלוקת,4
בחנויות,4
בחסות,3
בחקיקה,4
בחקירות,4
בחקלאות,4
בחרו,3
בחריין,2
בחשבון,3
בטווח,2
בטוח,3
בטח,2
בטענות,4
ביבי,2
ביבס,2
ביהד,3
ביהודה,4
ביהמש,4
ביולי,3
ביום,2
ביותר,3
ביחד,3
ביטוח,3
ביטחון,3
ביטחוניים,4
ביטל,2
ביטלה,2
ביטלנו,3
ביטן,2
ביישובים,4
בילוי,2
בימי,2
בין,1
בינלאומיים,5
ביעד,3
ביעדים,3
ביצע,2
ביקורת,3
ביקש,2
ביקשו,2
בירושלים,5
בירידה,4
בירידת,4
בירת,2
בישיבת,3
בישראל,4
בית,2
ביתנו,3
בכ,1
בכבישים,3
בכדי,2
בכותל,3
בכחמישה,5
בכיס,2
בכיר,2
בכיתה,3
בכל,2
בכלא,3
בכלל,2
בכמות,3
בכנס,3
בכנסת,3
בכסף,3
בכפייה,3
בכפר,2
בלב,2
בלבד,2
בלד,2
בלהגיע,5
בלהט,3
בלי,1
בלימודי,4
בלמעלה,3
בלתי,2
במאי,2
במאמצי,5
במבחני,4
במגזר,3
במגמת,4
במדד,3
במדינה,3
במדינות,3
במדינת,3
במה,2
במהותו,4
במהלך,4
במומנטום,4
במוסד,3
במוסדות,4
במועצות,4
במזרח,3
במחסור,3
במייצגים,4
במינוי,3
במכונים,3
במכללות,4
במכרז,3
במלונות,4
במלחמה,4
בממוצע,4
בממשלה,4
במסגרות,4
במסגרת,4
במסגרתו,4
במספר,3
במספרים,4
במעצרים,5
במערב,4
במערכת,5
במעשה,3
במעשי,4
במפה,3
במפורש,3
במפעל,3
במצבים,4
במצרים,4
במקביל,3
במקום,2
במקומות,3
במקצת,3
במרץ,3
במשבר,3
במשטר,3
במשטרת,4
במשך,3
במשכורת,4
במשפחה,4
במשק,3
במשרד,3
במתמטיקה,5
בן,1
בנה,1
בנו,1
בנוחות,3
בנוסח,3
בנושא,3
בנושאים,3
בנטל,3
בני,1
בניגוד,3
בניהולם,4
בניו,2
בנייה,2
בניינים,3
בנימין,3
בניקיון,4
בנסיבות,3
בנפרד,3
בנקודת,3
בנשיאותו,5
בנתבג,3
בנתה,2
בסדרי,3
בסוף,2
בסופו,3
בסטטיסטיקה,5
בסיוע,3
בסיס,2
בסיעוד,3
בסך,2
בסכין,3
בסל,2
בסמים,3
בסמכותה,4
בסמכותו,4
בסרבנות,4
בעבודה,4
בעבירות,4
בעבר,3
בעברית,3
בעד,2
בעוד,2
בעולם,3
בעזה,3
בעיה,3
בעיני,3
בעיניהם,4
בעיניו,3
בעיצומה,4
בעיקר,3
בעיר,2
בעלות,3
בעמדות,3
בעניין,3
בעניינו,4
בעצם,2
בעצמו,3
בעצרת,4
בעקבות,3
בערבית,4
בערך,3
בעשור,3
בעשרות,3
בעשרים,3
בפולין,3
בפועל,3
בפיו,2
בפיקוח,4
בפני,2
בפסק,2
בפעימה,4
בפעם,3
בפריז,3
בפרקליטות,4
בפרשיות,4
בפרשיית,4
בפרשת,4
בפתיחת,3
בפתרון,4
בצ,1
בצבא,3
בצד,2
בצהל,3
בצורה,3
בצמיחה,3
בצפון,3
בצרכים,3
בצרפת,3
בקבינט,4
בקדנציה,4
בקואליציה,5
בקופות,3
בקטאר,3
בקניונים,4
בקרב,3
בקריאה,3
בקרית,3
בקשה,3
בקשות,3
בקשרים,3
בר,1
בראש,2
בראשה,3
בראשות,3
בראשית,3
ברב,2
ברבעון,3
ברגבים,4
ברגע,3
ברוב,2
ברובו,3
ברובם,3
ברופאים,3
ברור,2
ברורה,2
ברזולוציות,5
ברח,2
ברחובות,3
בריאות,2
ברישום,3
ברכבים,4
ברמאללה,4
ברמות,3
ברמת,2
ברצועת,4
ברצינות,3
ברק,2
ברשות,3
ברשימה,3
ברשימות,3
בשבוע,4
בשבועות,4
בשבילו,3
בשבעים,3
בשבת,3
בשדרות,3
בשווי,3
בשוחד,3
בשום,2
בשונה,3
בשורה,3
בשטח,3
בשטחי,3
בשטחן,3
בשטרסבורג,3
בשיא,2
בשידור,3
בשימוע,4
בשיעור,3
בשל,2
בשלב,2
בשלבי,3
בשלוש,2
בשלושים,3
בשם,2
בשמאל,2
בשנה,3
בשני,2
בשנים,2
בשנת,2
בשנתיים,3
בשקיפות,3
בשתי,2
בתבחיני,4
בתוך,2
בתולדות,3
בתום,2
בתוצר,3
בתור,2
בתחבורה,4
בתחום,2
בתחילת,3
בתחתית,3
בתי,2
בתיהם,3
בתים,2
בתיק,2
בתכנית,3
בתל,2
בתפקידו,4
בתקופות,3
בתקופת,3
בתקופתו,4
בתקציב,3
בתקציבי,4
בתקציבים,4
בתקשורת,4
בתשלום,3
גאים,2
גבו,2
גבוה,3
גבוהה,2
גברים,2
גדול,2
גדולה,2
גדולות,2
גדולים,2
גדל,2
גדלות,2
גדלים,2
גדר,2
גו,1
גוגל,2
גודל,2
גוף,1
גורם,2
גורמים,2
גורף,2
גושי,2
גז,1
גיא,1
גיוס,2
גיור,2
גיל,1
גילון,2
גימיק,2
גינוי,2
גירוש,2
גירעון,3
גירעונות,3
גירשנו,3
גירשתי,3
גם,1
גני,2
גנץ,1
גפני,2
גרוע,3
גרזן,2
גרים,2
גרמה,2
גת,1
דאגה,3
דאז,2
דבר,2
דגל,2
דה,1
דואג,2
דובר,2
דוגמה,2
דוד,2
דודי,2
